0	272	519	1241	1092	1540	307	182	2178	549	487	72	1222	982	730
272	0	795	1213	986	1709	240	452	2346	280	456	344	1067	711	624
519	795	0	925	777	1224	719	392	1862	1064	542	484	918	1501	830
1241	1213	931	0	147	669	1334	1226	1273	1205	752	1319	306	1367	590
1092	1066	777	147	0	819	1186	1071	1422	1058	605	1174	281	1233	488
1540	1715	1224	669	819	0	1749	1518	638	1876	1423	1619	980	2071	1294
307	240	719	1334	1186	1749	0	382	2387	347	689	272	1267	783	824
182	452	392	1219	1071	1518	382	0	2156	727	466	147	1200	1164	706
2178	2353	1862	1273	1422	638	2387	2156	0	2415	2009	2257	1335	2543	1766
549	280	1064	1205	1058	1876	347	727	2415	0	594	617	1139	430	695
487	456	542	756	605	1427	689	466	2030	594	0	559	737	993	288
72	344	484	1313	1164	1612	272	147	2250	617	559	0	1294	1054	799
1233	1207	918	306	281	980	1267	1211	1335	1139	749	1295	0	1266	489
985	711	1504	1367	1233	2052	783	1162	2543	430	993	1054	1266	0	856
730	624	830	590	488	1307	824	706	1766	695	288	799	489	856	0
